year,month,avg_cost
2017,4,2.3442245383482496
2017,5,2.212020988490183
2017,6,1.5775
2017,7,2.5620144578313253
2017,8,2.1458913165266105
2017,9,1.978137042526508
2017,10,1.5539105417435677
2017,11,1.8351615144147275
2017,12,2.379957716701903
2018,1,1.4783741729968145
2018,2,1.406525127966496
2018,3,1.5570448520835543
2018,4,1.4712634524321997
2018,5,1.4638043700224628
2018,6,3.985994635193133
2018,7,4.819355056939903
2018,8,6.493129296235679
2018,9,5.1823394199785175
2018,10,4.2894245245641835
2018,11,3.5852003552003553
2018,12,7.702403557114229
2019,1,8.074957414282594
2019,2,4.683161290322581
2019,3,5.06707491451663
2019,4,7.211925572906106
2019,5,10.821340321595766
2019,6,19.367091826230183
2019,7,27.62110510380623
2019,8,26.63646476111856
2019,9,26.834422532256372
2019,10,36.290751137353595
2019,11,38.93294200695048
2019,12,44.154060131693385
2020,1,27.664858022579544
2020,2,15.590053036042862
2020,3,13.67571914426769
2020,4,5.687639310083396
2020,5,3.774227902023429
2020,6,7.665427058257101
2020,7,8.923800058178998
2020,8,11.258919443876508
2020,9,12.099379503602883
2020,10,9.094480694402874
2020,11,13.96446873932354
2020,12,11.475822961498196
2021,1,10.269887640449438
2021,2,0.39215686274509803
2021,3,0.0
2021,4,0.0
2021,5,0.0
2021,6,0.0
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,0.0
2021,11,0.0
2021,12,0.0
2023,6,0.0
2025,3,40.0
2033,1,10.0
2038,1,6.888888888888889
2038,2,7.630952380952381
2038,3,0.0
2038,4,0.0
2038,5,0.0
2038,6,0.0
2038,7,0.0
2038,8,0.0
2038,9,0.0
2038,10,0.0
2038,11,0.0
2038,12,0.0
2039,1,0.0
2039,2,0.0
2039,3,0.0
2039,4,0.0
2039,5,0.0
2039,6,0.0
2039,7,0.0
2039,8,0.0
2039,9,0.0
2039,10,0.0
2039,11,0.0
2039,12,0.0
2040,1,0.0
2040,2,0.0
2040,3,0.0
2040,4,0.0
2040,5,0.0
2040,6,0.0
2040,7,0.0
2040,8,0.0
2040,9,0.0
2040,10,0.0
2040,11,0.0
2040,12,0.0
2041,1,0.0
2041,2,0.0
2041,3,0.0
2041,4,0.0
2041,5,0.0
2041,6,0.0
2041,7,0.0
2041,8,0.0
2041,9,0.0
2041,10,0.0
2041,11,0.0
2041,12,0.0
2042,1,0.0
2042,2,0.0
2042,3,0.0
2042,4,0.0
2042,5,0.0
2042,6,0.0
2042,7,0.0
2042,8,0.0
2042,9,0.0
2042,10,0.0
2042,11,0.0
2042,12,0.0
2043,1,0.0
2043,2,0.0
2043,3,0.0
2043,4,0.0
2043,5,0.0
2043,6,0.0
2043,7,0.0
2043,8,0.0
2043,9,0.0
2043,10,0.0
2043,11,0.0
2043,12,0.0
2044,1,0.0
2044,2,0.0
2044,3,0.0
2044,4,0.0
2044,5,0.0
2044,6,0.0
2044,7,0.0
2044,8,0.0
2044,9,0.0
2044,10,0.0
2044,11,0.0
2044,12,0.0
2045,1,0.0
2045,2,0.0
2045,3,0.0
2045,4,0.0
2045,5,0.0
2045,6,0.0
2045,7,0.0
2045,8,0.0
2045,9,0.0
2045,10,0.0
2045,11,0.0
2045,12,0.0
2046,1,0.0
2046,2,0.0
2046,3,0.0
2046,4,0.0
2046,5,0.0
2046,6,0.0
2046,7,0.0
2046,8,0.0
2046,9,0.0
2046,10,0.0
2046,11,0.0
2046,12,0.0
2047,1,0.0
2047,2,0.0
2047,3,0.0
2047,4,0.0
2047,5,0.0
2047,6,0.0
2047,7,0.0
2047,8,0.0
2047,9,0.0
2047,10,0.0
2047,11,0.0
2047,12,0.0
2048,1,0.0
2048,2,0.0
2048,3,0.0
2048,4,0.0
2048,5,0.0
2048,6,0.0
2048,7,0.0
2048,8,0.0
2048,9,0.0
2048,10,0.0
2048,11,0.0
2048,12,0.0
2049,1,0.0
2049,2,0.0
2049,3,0.0
2049,4,0.0
2049,5,0.0
2049,6,0.0
2049,7,0.0
2049,8,0.0
2049,9,0.0
2049,10,0.0
2049,11,0.0
2049,12,0.0
2050,1,0.0
2050,2,0.0
2050,3,0.0
2050,4,0.0
2050,5,0.0
2050,6,0.0
2050,7,0.0
2050,8,0.0
2050,9,0.0
2050,10,0.0
2050,11,0.0
2050,12,0.0
2051,1,0.0
2051,2,0.0
2051,3,0.0
2051,4,0.0
2051,5,0.0
2051,6,0.0
2051,7,0.0
2051,8,0.0
2051,9,0.0
2051,10,0.0
2051,11,0.0
2051,12,0.0
2052,1,0.0
2052,2,0.0
2052,3,0.0
2052,4,0.0
2052,5,0.0
2052,6,0.0
2052,7,0.0
2052,8,0.0
2052,9,0.0
2052,10,0.0
2052,11,0.0
2052,12,0.0
2053,1,0.0
2053,2,0.0
2053,3,0.0
2053,4,0.0
2053,5,0.0
2053,6,0.0
2053,7,0.0
2053,8,0.0
2053,9,0.0
2053,10,0.0
2053,11,0.0
2053,12,0.0
2054,1,0.0
2054,2,0.0
2054,3,0.0
2054,4,0.0
2054,5,0.0
2054,6,0.0
2054,7,0.0
2054,8,0.0
2054,9,0.0
2054,10,0.0
2054,11,0.0
2054,12,0.0
2055,1,0.0
2055,2,0.0
2055,3,0.0
2055,4,0.0
2055,5,0.0
2055,6,0.0
2055,7,0.0
2055,8,0.0
2055,9,0.0
2055,10,0.0
2055,11,0.0
2055,12,0.0
2056,1,0.0
2056,2,0.0
2056,3,0.0
2056,4,0.0
2056,5,0.0
2065,5,0.0
2123,9,0.0
2322,2,0.0
6996,12,0.0
7100,3,0.0
